C2H2;CO2;Pressure;Power;SurfaceEnergy
0,000;0,000;0,000;0,000;51,739
-1,000;0,000;0,000;0,000;51,464
1,000;0,000;0,000;0,000;51,220
-0,500;-0,866;0,000;0,000;51,720
0,500;0,866;0,000;0,000;46,072
-0,500;0,866;0,000;0,000;45,891
0,500;-0,866;0,000;0,000;51,719
-0,500;-0,289;-0,817;0,000;52,331
0,500;0,289;0,817;0,000;45,826
-0,500;0,289;0,817;0,000;48,831
0,000;-0,577;0,817;0,000;49,899
0,500;-0,289;-0,817;0,000;55,758
0,000;0,577;-0,817;0,000;49,274
-0,500;-0,289;-0,204;-0,791;49,481
0,500;0,289;0,204;0,791;46,346
-0,500;0,289;0,204;0,791;46,189
0,000;-0,577;0,204;0,791;48,829
0,000;0,000;-0,612;0,791;47,947
0,500;-0,289;-0,204;-0,791;48,177
0,000;0,577;-0,204;-0,791;46,038
0,000;0,000;0,612;-0,791;44,300
